Tubule_ID,Loop_ID,distance,mean_phase
1,1,0,-0.18651635584362594
1,1,690.4357243297659,-1.8544821434140548
1,1,1340.126772657357,-1.8544821434140548
1,1,1984.711922189444,-1.8544821434140548
1,1,2603.193411870734,-1.8544821434140548
1,1,3185.07236117358,-1.5488680100728398
1,1,3860.5799864153296,-1.5247405784932702
1,1,4525.875814066072,-1.8544821434140548
1,1,5240.20058896645,-1.8544821434140548
1,1,5892.495843872722,-1.8981125821871099
1,1,6530.724248500893,-2.4625688174428952
1,1,7099.213027760774,-2.7259348127786347
1,1,7703.053501290686,-3.0269245217337652
1,1,8265.18553564665,-3.0269245217337652
1,1,8908.519839070324,-3.0386489455169623
1,1,9509.181940148279,-3.4959014730616498
1,1,10144.231972324493,-3.5193503206280443
1,1,10768.78312397306,-2.8011822400174173
1,1,11428.973052828298,-2.4625688174428952
1,1,12126.442202297114,-2.399862628077243
1,1,12820.732979313972,-2.399862628077243
1,1,13525.522636858477,-2.399862628077243
1,1,14162.500195378238,-2.399862628077243
1,1,14837.331140384853,-2.399862628077243
1,1,15546.550016489728,-2.4625688174428952
1,1,16299.691941048733,-2.6506873855398516
1,1,16911.81668582611,-3.073822216866554
1,1,17591.753529628226,-3.613145710893621
1,1,18174.20664480435,-3.7023669422555714
1,1,18833.14572755118,-3.613145710893621
1,1,19507.689589621154,-3.978952759477617
1,1,20156.416874776973,-4.186536635656216
1,1,20735.117451627862,-4.52349758049495
1,1,21323.64022877126,-5.0512223144449635
1,1,22014.075953101023,-5.351451757977926
1,1,22607.70462903993,-5.065001339823608
1,1,23231.29201751672,-5.767700218207959
1,1,23838.31086349859,-5.946092415449401
1,1,24442.438419965143,-5.946092415449401
1,1,25132.299978421634,-5.946092415449401
1,1,25776.88512795372,-6.168265847911272
1,1,26336.125872794364,-7.021698341814861
1,1,26978.209330109632,-7.39801087623246
1,1,27610.368072770525,-8.008987815502604
1,1,28315.398690819744,-8.563064228630928
1,1,28932.91641732926,-8.745754124622481
1,1,29548.21953455859,-9.234862401674569
1,1,30190.87715774713,-9.310109828913351
1,1,30825.927189923346,-9.197238688055178
1,1,31385.16793476399,-9.172156212308916
1,1,31992.186780745862,-9.121991260816394
1,1,32600.1693898995,-9.301941688014018
1,1,33243.503693323175,-9.896331018073207
1,1,33855.62843810055,-10.334193635759938
1,1,34491.64223344854,-10.506089019393757
1,1,35123.80097610943,-10.615190249067624
1,1,35755.67263583369,-10.852141733371981
1,1,36390.43558507327,-10.96237393640114
1,1,37057.94602200419,-11.524404862128353
1,1,37732.489884074166,-11.991421459640398
1,1,38406.069982972374,-12.16981365688184
1,1,39021.660183138345,-12.229277722628987
1,1,39666.24533267043,-12.229277722628987
1,1,40321.042279793524,-12.229277722628987
1,1,41001.94288676742,-12.333829926140456
1,1,41627.45780158775,-12.752038740186329
1,1,42260.58030742042,-12.882728994575665
1,1,42870.49044291762,-12.882728994575665
1,1,43543.78345887918,-13.724575294772814
1,1,44175.94220154008,-14.420852757773227
1,1,44824.66948669589,-14.758988658264403
1,1,45497.22009532613,-14.57355929347892
1,1,46211.25778728987,-14.966233242436415
1,1,46846.307819466085,-14.966233242436415
1,1,47497.92639413722,-15.367552854376589
1,1,48119.29917333383,-15.593295136092937
1,1,48809.447814726955,-15.593295136092937
1,1,49484.27875973357,-15.593295136092937
1,1,50140.03947002844,-15.593295136092937
1,1,50710.45577563186,-16.08572093498722
1,1,51385.96340087362,-16.179516325252795
1,1,52004.44489055491,-16.357958787976695
1,1,52603.179465289315,-16.268737556614745
1,1,53242.37163308925,-16.1677919014696
1,1,53926.16352957847,-16.07399651120402
1,1,54666.87904726628,-16.862856709705724
1,1,55307.32206117464,-17.28689631971666
1,1,55895.55775538139,-17.84349229015316
1,1,56470.4032795452,-17.784028224406015
1,1,57118.84348176437,-18.24487473394641
1,1,57797.529479458084,-18.43813294762464
1,1,58387.016019773255,-18.512463029808575
1,1,59019.17476243415,-18.512463029808575
1,1,59686.398116428434,-18.512463029808575
1,1,60345.337199175265,-18.512463029808575
1,1,61042.80634864408,-18.512463029808575
1,1,61715.13560143387,-18.734636462270444
1,1,62351.4364797185,-19.70320204374279
1,1,62980.129766990794,-19.728787174313627
1,1,63608.82305426309,-18.60394620788111
1,1,64276.33349119402,-18.512463029808575
1,1,64966.76921552378,-19.472935868605276
1,1,65644.49145004572,-20.153002713513164
1,1,66272.22097414624,-20.301914205293322
1,1,66969.69012361506,-20.679910633373243
1,1,67691.92410674755,-21.036167240290325
1,1,68387.46572987283,-21.337207214727915
1,1,69028.58542401632,-21.249418549616003
1,1,69739.73182646473,-21.249418549616003
1,1,70432.02935004186,-21.118527233296838
1,1,71105.60944894006,-21.249418549616003
1,1,71807.22073403261,-21.374830928347308
1,1,72528.86601700868,-21.76360930241435
1,1,73146.38374351819,-21.876480443272524
1,1,73780.47001252262,-21.876480443272524
1,1,74430.16106085022,-22.204764309202044
1,1,75099.59902412469,-22.46270163243238
1,1,75844.45667743623,-22.46270163243238
1,1,76570.24409603604,-22.632221972020087
1,1,77228.21941561109,-23.208836170845263
1,1,77916.44053066068,-23.92833628674101
1,1,78630.76530556106,-24.38157385887441
1,1,79352.41058853711,-24.423997926068488
1,1,80083.30390593242,-24.260471745263832
1,1,80803.02166256495,-24.721318254804228
1,1,81556.16358712394,-24.79564833698816
1,1,82272.41588836786,-24.646988172620294
1,1,82951.10188606159,-24.438863942505275
1,1,83605.89883318468,-24.676720205493865
1,1,84322.43821736524,-24.721318254804228
1,1,85002.37506116735,-24.528060041125997
1,1,85622.10739695706,-24.003753359983087
1,1,86376.50016762447,-22.879999384608713
1,1,87103.25134939604,-21.809690183457207
1,1,87804.8626344886,-21.249418549616003
1,1,88486.72700463427,-21.249418549616003
1,1,89201.72845976977,-21.412454641966697
1,1,89874.05771255957,-21.362289690474178
1,1,90532.03303213463,-21.04217396544399
1,1,91240.00106213108,-20.70403806495281
1,1,91889.40502752204,-20.70403806495281
1,1,92605.9444117026,-20.70403806495281
1,1,93341.26694765828,-21.07489679452378
1,1,94065.41392285116,-20.714945674646074
1,1,94802.66398515037,-19.903962380677793
1,1,95553.87838336584,-18.734636462270444
1,1,96233.24106129468,-18.512463029808575
1,1,96859.7197392868,-18.230008717509623
1,1,97527.90685645284,-18.43813294762464
1,1,98206.8799370832,-18.43813294762464
1,1,98840.00244291587,-17.798894240842802
1,1,99529.47440407386,-17.23178021820208
1,1,100204.01826614383,-17.007476785921078
1,1,100882.70426383754,-16.17774446699617
1,1,101562.35402470302,-15.675366102575317
1,1,102182.47595779123,-15.492965233107894
1,1,102855.76897375278,-15.593295136092937
1,1,103492.4594493359,-15.066563145421458
1,1,104115.75975487607,-14.301321440489442
1,1,104761.98534781506,-13.631559019485328
1,1,105390.67863508736,-14.567803895737542
1,1,106097.96998484868,-14.966233242436415
1,1,106817.40065854457,-15.279764189264675
1,1,107499.26502869025,-15.593295136092937
1,1,108131.1366884145,-15.154351810533372
1,2,0,3.6952041110053866
1,2,706.4301009514129,3.256260785445821
1,2,1338.3017606756687,3.569791732274082
1,2,2020.1661308213343,3.8833226791023434
1,2,2742.775176969175,4.281752025801215
1,2,3450.0665267305026,5.217996902053431
1,2,4075.581441550843,4.548234481049316
1,2,4721.807034489838,3.7829927761173
1,2,5345.107340029994,3.256260785445821
1,2,5984.976188065073,3.3565906884308645
1,2,6655.09083157468,3.174189818963441
1,2,7275.212764662878,2.6718114545425897
1,2,7950.720389904627,1.8420791356176827
1,2,8629.406387598336,1.6177757033366786
1,2,9311.270757744001,1.0506616806959563
1,2,9997.564346450035,0.41142297391411936
1,2,10633.865224734662,0.41142297391411936
1,2,11312.838305365007,0.619547204029136
1,2,11977.84705007911,0.33709289173018486
1,2,12604.325728071224,0.11491945926831466
1,2,13283.688406000067,-1.054406459139035
1,2,14030.760668591794,-1.8653897531073185
1,2,14768.010730891016,-2.2253408729850226
1,2,15499.478214159592,-1.8544821434140548
1,2,16231.622377663307,-1.8544821434140548
1,2,16948.16176184387,-1.8544821434140548
1,2,17593.423591611092,-2.1926180439052314
1,2,18301.391621607552,-2.512733768935417
1,2,18963.50907680634,-2.5628987204279388
1,2,19635.838329596132,-2.399862628077243
1,2,20350.839784731645,-2.399862628077243
1,2,21032.704154877312,-2.9601342619184465
1,2,21737.493812421813,-4.030443463069953
1,2,22461.06662174143,-5.15419743844433
1,2,23215.459392408848,-5.678504119587237
1,2,23835.191728198548,-5.871762333265467
1,2,24515.128572000667,-5.827164283955106
1,2,25231.66795618123,-5.589308020966516
1,2,25889.643275756283,-5.797432251081532
1,2,26565.150900998033,-5.946092415449401
1,2,27277.261066618226,-5.871762333265467
1,2,28034.545126800967,-5.410915823725073
1,2,28754.262883433483,-5.574442004529729
1,2,29485.156200828787,-5.532017937335652
1,2,30206.801483804855,-5.078780365202253
1,2,30924.304631157192,-4.359280249306504
1,2,31609.34737375482,-3.7826660504813265
1,2,32267.322693329872,-3.613145710893621
1,2,32993.110111929665,-3.613145710893621
1,2,33741.14613769317,-3.3552083876632843
1,2,34407.40572851569,-3.0269245217337652
1,2,35057.096776843275,-3.0269245217337652
1,2,35691.18304584771,-2.914053380875591
1,2,36308.70077235723,-2.525275006808547
1,2,37026.20391970957,-2.399862628077243
1,2,37731.95734042585,-2.2689713117580776
1,2,38405.53743932405,-2.399862628077243
1,2,39093.69282727744,-2.399862628077243
1,2,39808.98136534959,-2.487651293189156
1,2,40453.27943194504,-2.186611318751568
1,2,41141.50054699462,-1.8544821434140548
1,2,41852.595284754294,-1.6212503048115487
1,2,42454.508231940665,-0.9643809800577658
1,2,43127.411650603724,-0.3163583802164922
1,2,43865.912559011354,-0.9299993900568793
1,2,44529.280860318555,-1.7097175539366372
1,2,45245.82024449912,-2.039911508199539
1,2,45962.35962867968,-2.487651293189156
1,2,46580.84111836097,-2.8388059536368084
1,2,47236.888911592476,-3.0269245217337652
1,2,47897.75552068285,-2.525275006808547
1,2,48602.54517822736,-2.9350517861721857
1,2,49210.814870317634,-4.063417619562032
1,2,49909.534865894864,-3.8361987892984963
1,2,50528.016355576154,-3.6577563265745963
1,2,51220.379606249466,-4.050329744567177
1,2,51940.09736288199,-4.241087250493149
1,2,52694.49013354941,-4.927211086037159
1,2,53409.49158868492,-5.410915823725073
1,2,54142.886598297046,-5.767700218207959
1,2,54816.17961425861,-5.589308020966516
1,2,55512.685000555655,-5.0512223144449635
1,2,56224.11848594071,-4.341096711027526
1,2,56921.87471834617,-3.7915881736175217
1,2,57607.491626817064,-3.97172709637436
1,2,58316.71050292194,-4.992110107075018
1,2,59029.107751478776,-5.946092415449401
1,2,59661.9431743748,-5.946092415449401
1,2,60310.38337659398,-5.946092415449401
1,2,60983.67639255554,-5.946092415449401
1,2,61675.36296299372,-5.946092415449401
1,2,62355.58688973248,-5.946092415449401
1,2,63038.70210598656,-6.325094153178474
1,2,63712.28220488476,-6.9833206459586075
1,2,64408.78759118181,-7.447648040159179
1,2,65177.53429506396,-7.5369949352272725
1,2,65895.32452535293,-7.23917195166696
1,2,66629.39621520019,-7.23917195166696
1,2,67316.65356707801,-6.80422473196276
1,2,67949.48898997404,-6.155196822472338
1,2,68629.42583377616,-5.946092415449401
1,2,69361.56999727986,-5.871762333265467
1,2,70061.25375602888,-5.648772086713663
1,2,70762.86504112142,-5.42578184016186
1,2,71518.22157496061,-5.202791593610057
1,2,72276.75648125177,-5.291987692230778
1,2,72998.40176422783,-5.262255659357204
1,2,73710.51192984801,-5.752834201771171
1,2,74399.983891006,-5.871762333265467
1,2,75129.2367649944,-5.946092415449401
1,2,75826.02923422809,-5.871762333265467
1,2,76531.10597470924,-5.455513873035434
1,2,77252.75125768529,-5.277121675793991
1,2,77918.33416827268,-5.175233542852767
1,2,78574.09487856754,-4.088223635154777
1,2,79200.8606394963,-3.7469775579365465
1,2,79875.11741862964,-3.4372793541456645
1,2,80539.16240017196,-2.1380799954389125
1,2,81177.39080480013,-1.54082553287965
1,2,81856.36388543049,-1.144607867408905
1,2,82522.623476253,-0.9559866444873739
1,2,83201.88363982,-0.674550208208186
1,2,83846.46878935207,-0.05497787143782138
1,2,84502.22949964694,0.33709289173018486
1,2,85165.02363508086,0.33709289173018486
1,2,85808.64502144117,0.6641452533394967
1,2,86451.97932486483,0.9317335492016611
1,2,87119.20267885913,1.1079517643268197
1,2,87833.52745375951,1.1217307897054645
1,2,88483.21850208711,0.8871354998913004
1,2,89193.1140584271,0.5452171218452015
1,2,89821.80734569942,1.0060636313855955
1,2,90529.09869546074,1.4700454503942721
1,2,91246.60184281308,2.48267501042587
1,2,91919.21817853951,3.150740971397047
1,2,92669.4688135832,3.845698965482952
1,2,93341.798066373,3.8833226791023434
1,2,93990.23826859216,3.9705835566484535
1,2,94614.50233730409,4.428703163765531
1,2,95246.37399702835,4.428703163765531
1,2,95968.0192800044,4.428703163765531
1,2,96696.0213078844,4.428703163765531
