,,,Branch,,Length,Phase,,,,Branch,,Length,Phase,
,,,R1,0,"10,272,944",s9-12,205,1,,,,,,
,,,,1,"1,703,164",s7-8,34,2,,,,,,
,,,,2,"4,212,671",s9-12,84,3,,,,,,
,,,,3,"2,378,578",s7-8,48,4,,,,,,
,,,,4,"2,952,727",s1-6,59,5,,,,,,
,,,,5,"4,355,183",s7-8,87,6,,,,,,
,,,,6,"8,288,465",s1-6,166,7,,,,,,
,,,,7,"1,200,300",s7-8,24,8,,,,,,
,,,,8,"785,446",s9-12,16,9,,,,,,
,,,,9,"4,929,270",s7-8,99,10,,,,,,
,,,,10,"6,494,769",s1-6,130,11,,,,,,
,,,,11,"4,578,844",s9-12,92,12,,,,,,
,,,,12,"2,521,065",s7-8,50,13,,,,,,
,,,,13,"4,146,606",s1-6,83,14,,,,,,
,,,,14,"826,228",s9-12,17,15,,,,,,
,,,,15,"2,525,687",s7-8,51,16,,,,,,
,,,,16,"1,000,485",s9-12,20,17,,,,,,
,,,,17,"2,025,728",s7-8,41,18,,,,,,
,,,,18,"1,923,714",s9-12,38,19,,,,,,
,,,,19,"4,261,213",s1-6,85,20,,b1,21,"293,264",s7-8,36
,,,b1,20,"481,641",s7-8,10,21,,,22,"2,426,231",s9-12,37
,,,,,,,,,,R2,23,"4,099,657",s7-8,38
,,,b1,36,"803,336",s7-8,16,22,,,,,,
,,,,37,"3,957,806",s1-6,79,23,,,,,,
,,,,35,"816,376",s9-12,16,24,,,,,,
,,,,34,"1,384,135",s7-8,28,25,,,,,,
,,,,33,"1,023,109",s9-12,20,26,,,,,,
,,,,32,"1,136,128",s7-8,23,27,,,,,,
,,,,31,"9,198,716",s1-6,184,28,,,,,,
,,,,30,"972,920",s7-8,19,29,,,,,,
,,,,29,"672,989",s1-6,13,30,,,,,,
,,,,28,"4,133,689",s7-8,83,31,,,,,,
,,,,27,"4,673,399",s9-12,93,32,,,,,,
,,,,26,"7,912,418",s1-6,158,33,,,,,,
,,,,25,"2,513,098",s7-8,50,34,,,,,,
,,,R3,24,"2,777,076",s9-12,56,35,,,,,,
