,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,T1,T2,T3,T4,T5,T6,T7,T8,T9
,,T7,147.2 ,79.3 ,34.6 ,33.2 ,,5,21.6 ,±,9.1 ,,T5,1,"7,694,403 ",1 ,,,,,,,,,,
,,T8,178.6 ,97.4 ,37.6 ,43.7 ,,9,16.7 ,±,6.2 ,,,2,"36,918,880 ",2 ,,,,,,,,,,
,,T9,279.5 ,134.2 ,73.2 ,72.1 ,,13,16.7 ,±,7.7 ,,,3,"30,441,411 ",3 ,,,,,,,,,,
,,,,,,,,,,,,,,4,"22,533,710 ",4 ,,,,,,,,,,
,,,,,,,,,,,,,T6,1,"30,078,240 ",1 ,,,,,,,,,,
,,,,,,,,,,,,,,2,"7,367,585 ",2 ,,,,,,,,,,
,,,,44.5 ,28.4 ,27.1 ,,,,,,,T7,1,"21,812,653 ",1 ,,,,,,,,,,
,,,,39.7 ,31.0 ,29.3 ,,,,,,,,2,"6,522,962 ",2 ,,,,,,,,,,
,,,,48.4 ,18.4 ,33.2 ,,,,,,,,3,"17,882,660 ",3 ,,,,,,,,,,
,,,,39.4 ,27.3 ,33.3 ,,,,,,,,4,"29,614,425 ",4 ,,,,,,,,,,
,,,,47.8 ,22.8 ,29.5 ,,,,,,,,5,"32,140,466 ",5 ,,,,,,,,,,
,,,,50.7 ,27.2 ,22.0 ,,,,,,,T8,1,"10,647,247 ",1 ,,,,,,,,,,
,,,,53.9 ,23.5 ,22.6 ,,,,,,,,2,"19,157,185 ",2 ,,,,,,,,,,
,,,,54.5 ,21.0 ,24.5 ,,,,,,,,3,"20,950,808 ",3 ,,,,,,,,,,
,,,,48.0 ,26.2 ,25.8 ,,,,,,,,4,"18,292,156 ",4 ,,,,,,,,,,
,,,,,,,,,,,,,,5,"23,380,406 ",5 ,,,,,,,,,,
,,,,,,,,,,,,,,6,"15,629,023 ",6 ,,,,,,,,,,
,,,,,,,,,,,,,,7,"5,135,663 ",7 ,,,,,,,,,,
,,,,,,,,,,,,,,8,"11,593,499 ",8 ,,,,,,,,,,
,,,,,,,,,,,,,,9,"25,598,559 ",9 ,,,,,,,,,,
,,,,,,,,,,,,,T9,1,"26,975,495 ",1 ,,,,,,,,,,
,,,,,,,,,,,,,,2,"11,580,203 ",2 ,,,,,,,,,,
,,,,,,,,,,,,,,3,"7,776,047 ",3 ,,,,,,,,,,
,,,,,,,,,,,,,,4,"21,155,418 ",4 ,,,,,,,,,,
,,,,,,,,,,,,,,5,"29,523,086 ",5 ,,,,,,,,,,
,,,,,,,,,,,,,,6,"9,733,534 ",6 ,,,,,,,,,,
,,,,,,,,,,,,,,7,"6,691,401 ",7 ,,,,,,,,,,
,,,,,,,,,,,,,,8,"26,392,591 ",8 ,,,,,,,,,,
,,,,,,,,,,,,,,9,"5,957,314 ",9 ,,,,,,,,,,
,,,,,,,,,,,,,,10,"15,136,936 ",10 ,,,,,,,,,,
,,,,,,,,,,,,,,11,"19,177,877 ",11 ,,,,,,,,,,
,,,,,,,,,,,,,,12,"20,912,456 ",12 ,,,,,,,,,,
,,,,,,,,,,,,,,13,"15,991,957 ",13 ,,,,,,,,,,
,,,,,,,,,,,,,,av,"16,893,753 ",,,,,,,,,,,
,,,,,,,,,,,,,,sd,"7,768,458 ",,,,,,,,,,,
